owner	BAKEHOUSE	BEER & WINE	BREAD	BULK	CHEESE	DELI	FISH&SEAFOOD	FLOWERS	FROZEN	GEN MERCH	HERBS&SPICES	JUICE BAR	MEAT	PACKAGED GROCERY	PERSONAL CARE	PRODUCE	REF GROCERY	SUPPLEMENTS	total_spend
49152	0.0	0.0	0.0	0.24	0.0	0.04	0.05	0.0	0.01	0.0	0.0	0.05	0.09	0.05	0.0	0.37	0.02	0.08	1234.46
49153	0.0	0.0	0.0	0.0	0.1	0.14	0.0	0.0	0.2	0.0	0.0	0.0	0.11	0.39	0.0	0.01	0.04	0.0	83.54
49155	0.0	0.0	0.0	0.01	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.17	0.16	0.06	195.96
49156	0.0	0.0	0.15	0.14	0.03	0.1	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.26	0.0	0.24	0.05	0.0	223.14
49157	0.0	0.0	0.05	0.03	0.0	0.08	0.0	0.07	0.06	0.04	0.0	0.01	0.03	0.17	0.07	0.25	0.11	0.02	1228.37
49158	0.0	0.0	0.01	0.08	0.06	0.11	0.07	0.0	0.0	0.0	0.01	0.14	0.09	0.13	0.0	0.16	0.09	0.05	813.24
49159	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.07	0.0	0.07	0.48	0.0	83.98
49160	0.0	0.0	0.0	0.32	0.0	0.09	0.0	0.0	0.0	0.26	0.01	0.0	0.0	0.22	0.05	0.03	0.01	0.0	215.2
49161	0.0	0.0	0.03	0.04	0.06	0.18	0.0	0.01	0.01	0.0	0.01	0.0	0.03	0.22	0.05	0.19	0.17	0.0	1592.6
49162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.04	0.0	0.0	0.0	0.92	82.85
47681	0.0	0.0	0.0	0.11	0.0	0.03	0.03	0.0	0.0	0.0	0.01	0.03	0.08	0.23	0.03	0.1	0.36	0.0	326.77
49163	0.0	0.0	0.04	0.1	0.07	0.04	0.0	0.01	0.02	0.0	0.01	0.0	0.14	0.19	0.0	0.25	0.14	0.0	945.2
49164	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.42	0.0	0.15	0.11	0.0	33.58
49165	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.22	0.46	0.0	25.39
49167	0.0	0.0	0.0	0.13	0.11	0.09	0.0	0.0	0.0	0.04	0.0	0.0	0.03	0.1	0.02	0.21	0.21	0.04	878.46
49168	0.0	0.0	0.01	0.05	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.26	0.06	0.09	291.39
49169	0.0	0.0	0.02	0.01	0.0	0.07	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.09	0.03	0.1	0.57	0.1	282.31
49467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.18	0.58	0.0	0.0	11.05
49170	0.0	0.0	0.0	0.04	0.06	0.14	0.01	0.0	0.04	0.0	0.0	0.05	0.01	0.36	0.02	0.15	0.11	0.0	1052.06
49171	0.0	0.0	0.0	0.0	0.05	0.06	0.0	0.0	0.32	0.0	0.0	0.0	0.12	0.28	0.0	0.0	0.16	0.0	75.49
49172	0.0	0.0	0.0	0.0	0.04	0.05	0.0	0.0	0.05	0.0	0.0	0.0	0.03	0.47	0.0	0.31	0.05	0.0	181.59
49173	0.0	0.0	0.02	0.01	0.04	0.07	0.02	0.01	0.0	0.04	0.0	0.0	0.11	0.28	0.0	0.24	0.18	0.0	503.4
49174	0.0	0.0	0.0	0.17	0.04	0.06	0.0	0.0	0.03	0.02	0.01	0.0	0.1	0.07	0.0	0.06	0.43	0.0	386.42
49175	0.0	0.0	0.01	0.15	0.06	0.05	0.01	0.0	0.02	0.0	0.01	0.02	0.08	0.14	0.03	0.29	0.11	0.01	1118.78
49177	0.0	0.0	0.01	0.03	0.02	0.02	0.0	0.19	0.04	0.0	0.0	0.01	0.0	0.24	0.0	0.14	0.18	0.14	329.91
49178	0.0	0.0	0.0	0.55	0.0	0.03	0.0	0.0	0.0	0.08	0.0	0.0	0.04	0.03	0.0	0.15	0.12	0.0	213.45
49179	0.0	0.0	0.02	0.05	0.09	0.02	0.06	0.0	0.03	0.04	0.0	0.03	0.01	0.24	0.03	0.26	0.09	0.04	1365.12
49180	0.0	0.0	0.0	0.18	0.0	0.06	0.1	0.0	0.03	0.0	0.0	0.0	0.19	0.17	0.08	0.14	0.06	0.0	455.38
49181	0.0	0.01	0.0	0.05	0.06	0.05	0.0	0.0	0.03	0.02	0.0	0.11	0.0	0.24	0.03	0.21	0.15	0.05	291.19
49182	0.0	0.01	0.05	0.0	0.0	0.4	0.0	0.03	0.0	0.0	0.0	0.13	0.0	0.23	0.01	0.06	0.09	0.0	433.78
49183	0.0	0.0	0.0	0.02	0.0	0.36	0.0	0.0	0.01	0.0	0.0	0.28	0.0	0.24	0.0	0.04	0.05	0.0	532.17
49184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.59
49185	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.99
49187	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.35	0.02	0.24	78.73
49188	0.0	0.0	0.0	0.02	0.0	0.08	0.01	0.0	0.05	0.0	0.0	0.11	0.17	0.26	0.06	0.12	0.02	0.11	918.47
49189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.32	49.33
49190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.72	0.0	0.08	0.06	0.0	95.7
49191	0.0	0.0	0.0	0.0	0.03	0.08	0.0	0.0	0.01	0.0	0.0	0.02	0.19	0.27	0.0	0.19	0.2	0.0	943.53
49192	0.0	0.0	0.06	0.11	0.0	0.16	0.0	0.0	0.03	0.03	0.0	0.03	0.0	0.25	0.04	0.17	0.13	0.0	1297.11
49193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.99
49194	0.0	0.0	0.02	0.23	0.01	0.11	0.0	0.01	0.01	0.02	0.0	0.02	0.0	0.24	0.01	0.22	0.1	0.0	2138.53
49195	0.0	0.0	0.01	0.08	0.09	0.04	0.02	0.02	0.08	0.0	0.03	0.0	0.01	0.24	0.04	0.22	0.13	0.0	809.15
49196	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.05	0.0	0.0	0.37	0.0	0.15	0.13	0.09	0.05	0.1	292.94
49197	0.0	0.0	0.0	0.0	0.34	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.11	0.19	0.0	26.52
49198	0.0	0.0	0.01	0.15	0.04	0.11	0.0	0.0	0.05	0.01	0.0	0.06	0.04	0.13	0.02	0.25	0.13	0.0	498.69
49199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	64.21
49200	0.0	0.0	0.01	0.0	0.01	0.05	0.02	0.0	0.04	0.14	0.0	0.03	0.31	0.03	0.02	0.11	0.18	0.06	629.77
49201	0.0	0.0	0.0	0.03	0.0	0.04	0.0	0.1	0.0	0.24	0.0	0.0	0.0	0.29	0.07	0.11	0.11	0.0	186.75
46555	0.0	0.0	0.0	0.0	0.07	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	54.24
49202	0.0	0.0	0.0	0.03	0.0	0.02	0.0	0.0	0.15	0.0	0.0	0.09	0.07	0.41	0.0	0.09	0.14	0.0	1869.03
49203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.92	0.0	0.0	0.0	0.0	22.73
49204	0.0	0.0	0.0	0.36	0.01	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.1	0.29	0.01	0.11	0.1	0.0	657.19
49205	0.0	0.0	0.01	0.01	0.06	0.17	0.01	0.05	0.1	0.07	0.0	0.05	0.0	0.19	0.08	0.1	0.11	0.0	1432.34
49206	0.0	0.0	0.0	0.01	0.04	0.22	0.0	0.01	0.01	0.0	0.0	0.09	0.02	0.33	0.05	0.06	0.16	0.0	942.65
49208	0.0	0.0	0.01	0.15	0.06	0.03	0.01	0.0	0.08	0.0	0.01	0.0	0.09	0.24	0.02	0.13	0.12	0.04	1065.62
49209	0.0	0.0	0.0	0.48	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.29	0.0	25.84
49210	0.0	0.0	0.02	0.22	0.02	0.03	0.01	0.0	0.0	0.0	0.01	0.0	0.03	0.31	0.0	0.11	0.24	0.0	606.74
49211	0.0	0.0	0.01	0.0	0.04	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.07	0.0	0.33	0.22	0.0	172.77
49212	0.0	0.0	0.01	0.19	0.0	0.06	0.0	0.0	0.05	0.0	0.04	0.0	0.0	0.39	0.01	0.21	0.05	0.0	428.2
49213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.99
49214	0.0	0.0	0.0	0.05	0.04	0.12	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.19	0.02	0.37	0.18	0.0	677.78
49215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.07	0.0	0.12	0.0	0.71	56.68
49217	0.0	0.0	0.0	0.04	0.04	0.17	0.01	0.0	0.1	0.0	0.0	0.04	0.04	0.16	0.01	0.25	0.14	0.0	828.84
49218	0.0	0.0	0.02	0.07	0.0	0.18	0.0	0.0	0.25	0.0	0.0	0.0	0.01	0.33	0.0	0.06	0.07	0.0	632.69
49219	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.13	0.15	0.0	17.04
49220	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.03	0.02	0.0	0.0	0.0	0.1	0.0	0.36	0.16	0.0	197.16
49221	0.0	0.0	0.03	0.02	0.11	0.16	0.11	0.0	0.0	0.0	0.01	0.0	0.0	0.17	0.01	0.23	0.14	0.01	2089.14
49222	0.0	0.0	0.02	0.06	0.01	0.05	0.06	0.01	0.02	0.01	0.0	0.01	0.04	0.17	0.06	0.29	0.18	0.01	2303.8
49223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.99
49224	0.0	0.0	0.0	0.12	0.0	0.04	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.09	0.01	0.45	0.24	0.0	1214.52
49226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.09	0.0	0.0	0.0	0.0	0.41	0.0	0.37	0.1	0.0	315.35
49227	0.0	0.0	0.03	0.0	0.04	0.09	0.0	0.0	0.08	0.0	0.0	0.03	0.1	0.18	0.05	0.26	0.13	0.02	1154.06
49228	0.0	0.0	0.0	0.05	0.03	0.16	0.0	0.0	0.01	0.0	0.0	0.02	0.19	0.12	0.0	0.35	0.05	0.0	8685.26
49231	0.0	0.0	0.02	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.24	0.3	0.02	0.04	0.11	84.68
49232	0.0	0.0	0.01	0.04	0.04	0.03	0.02	0.0	0.0	0.0	0.0	0.0	0.34	0.08	0.0	0.29	0.14	0.0	339.01
49233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.62	0.0	0.0	0.0	0.0	23.67
49234	0.0	0.0	0.02	0.05	0.09	0.04	0.0	0.0	0.02	0.08	0.02	0.01	0.07	0.18	0.0	0.25	0.15	0.01	923.9
49235	0.0	0.0	0.01	0.25	0.03	0.07	0.0	0.0	0.04	0.04	0.0	0.0	0.01	0.24	0.0	0.15	0.15	0.0	346.07
49236	0.0	0.0	0.0	0.0	0.09	0.14	0.0	0.0	0.06	0.06	0.0	0.0	0.03	0.21	0.0	0.23	0.05	0.13	189.34
49238	0.0	0.0	0.01	0.07	0.02	0.03	0.0	0.0	0.02	0.0	0.0	0.0	0.33	0.21	0.0	0.26	0.04	0.0	304.1
49240	0.0	0.0	0.0	0.32	0.0	0.02	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.02	0.0	0.53	0.07	0.0	3228.26
49241	0.0	0.0	0.0	0.05	0.02	0.08	0.0	0.01	0.02	0.02	0.03	0.03	0.03	0.15	0.02	0.4	0.12	0.02	1611.21
49242	0.0	0.0	0.0	0.08	0.07	0.01	0.01	0.0	0.08	0.0	0.0	0.0	0.14	0.1	0.01	0.29	0.18	0.02	1174.67
49243	0.0	0.0	0.02	0.02	0.04	0.1	0.0	0.0	0.09	0.0	0.0	0.01	0.08	0.28	0.0	0.19	0.18	0.0	993.1
49245	0.0	0.0	0.01	0.06	0.05	0.05	0.0	0.01	0.01	0.0	0.0	0.0	0.17	0.19	0.01	0.31	0.12	0.0	1171.15
49246	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.31	0.0	0.0	0.04	0.32	157.0
49247	0.0	0.04	0.01	0.0	0.04	0.13	0.0	0.0	0.03	0.0	0.0	0.05	0.0	0.67	0.0	0.0	0.02	0.0	708.02
49249	0.0	0.0	0.01	0.06	0.02	0.16	0.01	0.01	0.09	0.03	0.0	0.01	0.06	0.17	0.02	0.21	0.1	0.05	2620.78
49250	0.0	0.0	0.0	0.16	0.0	0.18	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.21	0.0	0.24	0.1	0.0	114.42
49251	0.0	0.0	0.0	0.09	0.0	0.17	0.0	0.0	0.01	0.01	0.01	0.07	0.0	0.17	0.0	0.42	0.04	0.02	1285.76
49252	0.0	0.0	0.01	0.03	0.01	0.03	0.0	0.0	0.02	0.01	0.0	0.02	0.16	0.24	0.03	0.24	0.1	0.09	1630.03
49253	0.0	0.0	0.0	0.07	0.0	0.12	0.02	0.0	0.0	0.0	0.0	0.18	0.32	0.1	0.08	0.06	0.05	0.0	1332.54
49254	0.0	0.0	0.0	0.08	0.03	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.15	0.04	0.4	0.09	0.08	2442.11
49255	0.0	0.0	0.0	0.01	0.01	0.26	0.01	0.0	0.23	0.02	0.02	0.0	0.05	0.17	0.04	0.13	0.04	0.0	1046.88
49256	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.01	0.01	0.01	0.01	0.07	0.43	0.05	0.2	0.04	0.15	1036.19
49257	0.0	0.31	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
49258	0.0	0.0	0.01	0.01	0.06	0.3	0.03	0.0	0.04	0.01	0.0	0.27	0.02	0.06	0.0	0.14	0.05	0.0	728.79
49259	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.05	0.0	0.43	0.32	0.0	56.06
49260	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.03	0.26	0.0	0.53	0.05	0.11	704.64
49262	0.0	0.0	0.0	0.08	0.02	0.09	0.0	0.0	0.04	0.29	0.0	0.0	0.0	0.13	0.01	0.2	0.08	0.04	1593.25
49263	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	46.96
49264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.99
49265	0.0	0.0	0.01	0.15	0.02	0.06	0.0	0.01	0.02	0.01	0.03	0.02	0.02	0.33	0.03	0.18	0.1	0.0	1094.16
49266	0.0	0.0	0.0	0.07	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.2	0.0	0.12	0.16	0.0	209.59
49267	0.0	0.0	0.06	0.36	0.0	0.09	0.04	0.0	0.02	0.0	0.04	0.01	0.0	0.01	0.0	0.28	0.1	0.0	911.01
49268	0.0	0.0	0.0	0.05	0.03	0.28	0.02	0.0	0.0	0.02	0.0	0.0	0.05	0.14	0.0	0.27	0.13	0.0	778.36
49269	0.0	0.0	0.0	0.07	0.11	0.06	0.03	0.0	0.04	0.0	0.0	0.0	0.19	0.15	0.01	0.2	0.15	0.0	741.58
49270	0.0	0.0	0.0	0.05	0.0	0.02	0.02	0.0	0.1	0.01	0.0	0.01	0.01	0.3	0.09	0.17	0.14	0.09	695.53
49271	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.07	0.0	0.01	0.0	0.02	0.29	0.29	0.2	0.11	0.0	341.33
49272	0.0	0.0	0.01	0.03	0.06	0.03	0.01	0.0	0.02	0.0	0.0	0.0	0.08	0.37	0.0	0.25	0.13	0.0	480.29
49273	0.0	0.0	0.0	0.03	0.06	0.01	0.0	0.0	0.06	0.0	0.01	0.09	0.0	0.32	0.03	0.23	0.17	0.0	586.78
49274	0.0	0.0	0.01	0.02	0.02	0.1	0.0	0.02	0.01	0.15	0.0	0.0	0.16	0.2	0.0	0.21	0.1	0.0	1029.12
49275	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.41
49276	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3
49277	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0
49278	0.0	0.0	0.0	0.0	0.07	0.08	0.2	0.0	0.02	0.0	0.0	0.0	0.18	0.19	0.08	0.14	0.05	0.0	611.44
49279	0.0	0.0	0.02	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.49	0.02	0.13	0.03	0.06	237.15
49280	0.0	0.0	0.01	0.09	0.04	0.01	0.1	0.0	0.03	0.0	0.0	0.0	0.18	0.24	0.0	0.18	0.11	0.0	2005.91
49281	0.0	0.0	0.04	0.06	0.0	0.13	0.0	0.0	0.01	0.0	0.0	0.06	0.16	0.22	0.0	0.17	0.15	0.0	1285.19
49282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.99
49283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.7	28.37
49284	0.0	0.0	0.01	0.0	0.05	0.04	0.0	0.0	0.0	0.04	0.05	0.03	0.0	0.1	0.62	0.02	0.04	0.0	270.81
49285	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.07	0.08	0.24	0.0	0.24	0.18	0.0	0.16	0.0	0.0	113.62
49286	0.0	0.0	0.0	0.0	0.16	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.44	0.0	0.0	37.59
49287	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.05	0.06	0.0	0.04	0.23	0.22	0.3	0.04	0.0	147.59
49290	0.0	0.0	0.05	0.03	0.05	0.09	0.0	0.02	0.31	0.0	0.0	0.0	0.04	0.18	0.0	0.18	0.05	0.0	242.19
49291	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	14.97
49292	0.0	0.0	0.0	0.12	0.02	0.1	0.0	0.0	0.02	0.0	0.0	0.0	0.05	0.25	0.13	0.22	0.08	0.0	340.11
49293	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.08	0.22	0.0	0.07	0.12	0.17	0.02	0.04	0.13	0.01	442.64
